file_id	column_name	columns
AIDA	batch	study,library_id
AIDA	library_id	study,library_id
Ahern2022	batch	study,Institute,Pool_ID
Ahern2022	library_id	study,Pool_ID
Hao2021	batch	study,Batch
Hao2021	library_id	study,lane
Lee2020	batch	study,Experimental_batch
Lee2020	library_id	study,Sample ID
Liu2021	batch	study,Batch
Liu2021	library_id	study,Batch
Perez2022	batch	study,Processing_Cohort
Perez2022	library_id	study,library_uuid
Powell	batch	study
Powell	library_id	study,pool
SchulteSchrepping2020	batch	study
SchulteSchrepping2020	library_id	study,donor_id
Schulte2020	batch	study
Schulte2020	library_id	study,donor_id
Stephenson2021	batch	study,library_id
Stephenson2021	library_id	study,library_id
vanderWijst2021	batch	study,pool
vanderWijst2021	library_id	study,pool
VentoTormo	batch	study,Batch
VentoTormo	library_id	study,Sample_ID
Yazar2022	batch	study,pool_number
Yazar2022	library_id	study,pool_number
Yoshida2022	batch	study,sequencing_library
Yoshida2022	library_id	study,sequencing_library
