tier_1	cellxgene
sample_id	
donor_id	donor_id
organism_ontology_term_id	organism_ontology_term_id
	organism
sex_ontology_term_id	sex_ontology_term_id
	sex
tissue_type	tissue_type
tissue_ontology_term_id	tissue_ontology_term_id
tissue_free_text	tissue
sample_preservation_method	
suspension_type	suspension_type
assay_ontology_term_id	assay_ontology_term_id
	assay
is_primary_data	is_primary_data
cell_type_ontology_term_id	cell_type_ontology_term_id
	cell_type
disease_ontology_term_id	disease_ontology_term_id
	disease
self_reported_ethnicity_ontology_term_id	self_reported_ethnicity_ontology_term_id
	self_reported_ethnicity
development_stage_ontology_term_id	development_stage_ontology_term_id
	development_stage
