cell_type	overlap_highQC	present_highQC	missing_highQC	overlap_HLCAv1	present_HLCAv1	missing_HLCAv1	diff
pre-TB secretory	0.625	['EPCAM', 'SFTPB', 'SFTA1P', 'ELF3', 'RNASE1']	['FXYD3', 'IGFBP2', 'TSPAN1']	0.25	['SFTPB', 'SFTA1P']	['EPCAM', 'TSPAN1', 'IGFBP2', 'ELF3', 'RNASE1', 'FXYD3']	0.375
Club (nasal)	0.5	['ELF3', 'FXYD3', 'SERPINB3', 'TSPAN1']	['EPCAM', 'ASRGL1', 'TCN1', 'IGFBP2']	0.125	['SERPINB3']	['EPCAM', 'TSPAN1', 'TCN1', 'ASRGL1', 'IGFBP2', 'ELF3', 'FXYD3']	0.375
Tuft	0.5	['ELF3', 'EPCAM']	['FXYD3', 'DAB1']	0.25	['EPCAM']	['ELF3', 'FXYD3', 'DAB1']	0.25
Lymphatic EC differentiating	0.8888888888888888	['CLDN5', 'PKHD1L1', 'CCL21', 'PROX1', 'MMRN1', 'TFF3', 'SEMA3D', 'FLT4']	['CLEC14A']	0.6666666666666666	['PKHD1L1', 'CCL21', 'PROX1', 'MMRN1', 'SEMA3D', 'FLT4']	['CLDN5', 'TFF3', 'CLEC14A']	0.2222222222222222
CD4 T cells	0.3	['PTPRC', 'CORO1A', 'ISG20']	['CD4', 'CD28', 'CD53', 'CD40LG', 'CCL5', 'TNFRSF25', 'TRAT1']	0.1	['PTPRC']	['CD4', 'CD28', 'CD53', 'CD40LG', 'CCL5', 'ISG20', 'CORO1A', 'TNFRSF25', 'TRAT1']	0.19999999999999998
Smooth muscle	0.5	['MFAP4', 'MYH11', 'TINAGL1']	['DCN', 'COL1A2', 'PLN']	0.3333333333333333	['MYH11', 'TINAGL1']	['DCN', 'MFAP4', 'COL1A2', 'PLN']	0.16666666666666669
SMG serous (nasal)	0.75	['ODAM', 'CCL28', 'TCN1', 'MUC7', 'FAM3D', 'FXYD3']	['ELF3', 'EPCAM']	0.625	['ODAM', 'CCL28', 'TCN1', 'FAM3D', 'FXYD3']	['ELF3', 'EPCAM', 'MUC7']	0.125
Alveolar Mph CCL3+	0.25	['FCER1G', 'CCL20']	['PTPRC', 'FAM89A', 'CLEC7A', 'CD53', 'C1orf162', 'CORO1A']	0.125	['CCL20']	['PTPRC', 'FAM89A', 'CLEC7A', 'CD53', 'FCER1G', 'C1orf162', 'CORO1A']	0.125
Myofibroblasts	0.5555555555555556	['TYRP1', 'DCN', 'LUM', 'MFAP4', 'LMOD1']	['COL1A2', 'COL6A3', 'CFD', 'ATP1B1']	0.4444444444444444	['TYRP1', 'MFAP4', 'LMOD1', 'DCN']	['COL1A2', 'ATP1B1', 'COL6A3', 'LUM', 'CFD']	0.11111111111111116
DC2	0.3333333333333333	['PKIB', 'CD1E', 'CLEC10A']	['PTPRC', 'CLEC7A', 'CD53', 'FCER1G', 'C1orf162', 'CORO1A']	0.4444444444444444	['CLEC7A', 'FCER1G', 'C1orf162', 'CLEC10A']	['PTPRC', 'CD53', 'CORO1A', 'PKIB', 'CD1E']	-0.1111111111111111
EC venous pulmonary	0.875	['CPE', 'C7', 'CLDN5', 'AQP1', 'MMRN1', 'CLEC14A', 'SPARCL1']	['RNASE1']	1.0	['CPE', 'C7', 'CLDN5', 'AQP1', 'MMRN1', 'RNASE1', 'CLEC14A', 'SPARCL1']	[]	-0.125
Multiciliated (non-nasal)	0.625	['C9orf24', 'TSPAN1', 'C20orf85', 'RSPH1', 'FXYD3']	['ELF3', 'EPCAM', 'IGFBP2']	0.75	['C9orf24', 'TSPAN1', 'C20orf85', 'RSPH1', 'ELF3', 'FXYD3']	['EPCAM', 'IGFBP2']	-0.125
Multiciliated (nasal)	0.2857142857142857	['FXYD3', 'TSPAN1']	['EPCAM', 'LYPD2', 'BEST4', 'IGFBP2', 'ELF3']	0.42857142857142855	['FXYD3', 'IGFBP2', 'TSPAN1']	['ELF3', 'BEST4', 'EPCAM', 'LYPD2']	-0.14285714285714285
Goblet (nasal)	0.25	['PSCA', 'LYPD2']	['EPCAM', 'CEACAM5', 'TSPAN1', 'IGFBP2', 'ELF3', 'FXYD3']	0.5	['ELF3', 'PSCA', 'LYPD2', 'TSPAN1']	['EPCAM', 'CEACAM5', 'IGFBP2', 'FXYD3']	-0.25
Goblet (bronchial)	0.0	[]	['ELF3', 'EPCAM', 'CEACAM5', 'TSPAN1', 'IGFBP2', 'ALDH1A3', 'GPX8', 'FXYD3']	0.25	['ELF3', 'TSPAN1']	['EPCAM', 'CEACAM5', 'ALDH1A3', 'GPX8', 'IGFBP2', 'FXYD3']	-0.25
